bcc3ZAEA8itk943901,Одноклеточные,"b1b3CQEA8itk0,-1,0,-1,0,0,-4,96",HR9,1
4a4fZAEA8itk943902,Одноклеточные,"b1b3CQEA8itk0,-1,0,-1,0,0,-4,96",HR9,2
6d05ZAEA8itk943903,Одноклеточные,"b1b3CQEA8itk0,-1,0,-1,0,0,-4,96",HR9,3
8c4eZAEA8itk943904,Одноклеточные,"b1b3CQEA8itk0,-1,0,-1,0,0,-4,96",HR9,4
e5b4ZAEA8itk943905,Одноклеточные,"b1b3CQEA8itk0,-1,0,-1,0,0,-4,96",HR9,5
e2f7ZAEA8itk943909,Растения,"bd20CQEA8itk0,-1,1,0,-4,0,0,140",HR9,1
fac5ZAEA8itk943910,Растения,"bd20CQEA8itk0,-1,1,0,-4,0,0,140",HR9,2
0d8cZAEA8itk943911,Растения,"bd20CQEA8itk0,-1,1,0,-4,0,0,140",HR9,3
19a0ZAEA8itk943912,Растения,"bd20CQEA8itk0,-1,1,0,-4,0,0,140",HR9,4
eef1ZAEA8itk943913,Растения,"bd20CQEA8itk0,-1,1,0,-4,0,0,140",HR9,5
2a9dZAEA8itk943941,Черви,"cd3dCQEA8itk1,0,0,0,-4,-5,0,152",HR9,1
76d3ZAEA8itk943942,Черви,"cd3dCQEA8itk1,0,0,0,-4,-5,0,152",HR9,2
1747ZAEA8itk943943,Черви,"cd3dCQEA8itk1,0,0,0,-4,-5,0,152",HR9,3
5b11ZAEA8itk943944,Черви,"cd3dCQEA8itk1,0,0,0,-4,-5,0,152",HR9,4
c9cbZAEA8itk943945,Черви,"cd3dCQEA8itk1,0,0,0,-4,-5,0,152",HR9,5
6e44ZAEA8itk943957,Рептилии,"d2b7CQEA8itk0,-1,1,0,-4,0,0,176",HR9,1
e245ZAEA8itk943958,Рептилии,"d2b7CQEA8itk0,-1,1,0,-4,0,0,176",HR9,2
b255ZAEA8itk943959,Рептилии,"d2b7CQEA8itk0,-1,1,0,-4,0,0,176",HR9,3
47c3ZAEA8itk943960,Рептилии,"d2b7CQEA8itk0,-1,1,0,-4,0,0,176",HR9,4
14c1ZAEA8itk943961,Рептилии,"d2b7CQEA8itk0,-1,1,0,-4,0,0,176",HR9,5
